35,524,1.00000000
45,3930,1.00000000
55,245343,1.00000000
65,190638,2.51534737
75,170492,3.27574887
85,182233,2.78713974
95,188326,2.54625271
105,181577,2.80027309
115,182322,2.77321970
125,183887,2.72055375
135,184596,2.70649486
145,182313,2.78528247
155,183538,2.71795150
165,184184,2.73020333
175,184086,2.75161803
185,183834,2.72107616
195,184853,2.72237711
205,183933,2.75409997
215,183599,2.73075625
225,183209,2.75289192
235,183588,2.73332824
245,184517,2.71650783
255,183032,2.76010740
265,184395,2.72618621
275,183752,2.74854373
285,184499,2.72361203
295,183261,2.75169339
305,184042,2.72519242
315,182761,2.76251010
325,183891,2.72895434
335,184065,2.75290297
345,182760,2.71118207
