34,1038,1.00000000
44,87496,1.00000000
54,242775,1.08398275
64,166764,3.44796174
74,175241,3.08400648
84,184837,2.69210626
94,188438,2.55722764
104,180955,2.84759485
114,184742,2.70929315
124,184637,2.68359515
134,185175,2.67505654
144,181370,2.80130911
154,185481,2.63666491
164,183707,2.71624352
174,181328,2.77230262
184,184004,2.64208891
194,183892,2.66144665
204,182212,2.69388766
214,181737,2.70403652
224,181567,2.71752015
234,179335,2.73230831
244,181550,2.65437615
254,180801,2.68505658
264,179156,2.77251233
274,180228,2.71921794
284,181309,2.66622126
294,181074,2.67942078
304,179553,2.72739126
314,178673,2.81514715
324,178801,2.69170563
334,181017,2.69270131
