44,446,1.00000000
54,32703,1.00000000
64,245307,1.00000000
74,188534,1.09780360
84,165801,1.15456521
94,175747,1.12575034
104,179708,1.11556675
114,180128,1.10951743
124,176880,1.11981858
134,177591,1.11254878
144,177976,1.11637464
154,178823,1.10542570
164,177426,1.11182846
174,178768,1.10835851
184,177899,1.11143347
194,179169,1.10902783
204,181353,1.10458907
214,181413,1.10257559
224,181171,1.10673155
234,181398,1.10248760
244,180254,1.10730503
254,181425,1.10578359
264,181190,1.10617605
274,184088,1.10018333
284,180138,1.10880704
294,184031,1.10182685
304,185280,1.09801546
314,182219,1.10572739
324,181813,1.10970354
334,181568,1.10935314
344,182016,1.10955167
