42,524,1.00000000
52,9072,1.00000000
62,245613,1.00000000
72,196338,1.08049684
82,164195,1.15929874
92,174220,1.13353920
102,180703,1.11356147
112,183659,1.10725467
122,178005,1.12193411
132,178387,1.12041452
142,180161,1.11668045
152,181716,1.11294698
162,178729,1.11959873
172,180531,1.11636584
182,180941,1.11399584
192,181149,1.11547342
202,180218,1.11636750
212,180449,1.11473059
222,180182,1.11612504
232,181915,1.11081427
242,180849,1.11506088
252,178667,1.11706913
262,181219,1.11122055
272,179826,1.11578425
282,179594,1.11576051
292,181780,1.10894781
302,179086,1.11431252
312,179764,1.11182037
322,178066,1.11451805
332,180144,1.10932105
342,178294,1.11389347
