36,524,1.00000000
46,20607,1.00000000
56,245914,1.00000000
66,192227,2.44610417
76,200284,2.15588826
86,209574,1.85473369
96,191645,2.41857031
106,203903,2.04783537
116,188660,2.59960504
126,194332,2.32815197
136,205596,1.99235258
146,182431,2.77341205
156,196705,2.29161112
166,205412,1.98737379
176,184234,2.68229761
186,193236,2.34830785
196,204361,1.95362972
206,181356,2.70926430
216,192854,2.27384603
226,200780,1.99897475
236,186719,2.46756667
246,190152,2.32542893
256,198637,2.04875542
266,189577,2.32628542
276,191298,2.29472075
286,197273,2.08884298
296,195645,2.14316041
306,190424,2.33993538
316,197227,2.08631288
326,197731,2.11698423
336,191509,2.32676121
346,181422,2.14555730
