33,1034,1.00000000
43,71688,1.00000000
53,247245,1.00000000
63,241237,1.12381916
73,236008,1.22156854
83,231911,1.31113001
93,228480,1.41007144
103,222530,1.52678251
113,219117,1.62259547
123,214859,1.75305676
133,210177,1.87416508
143,205819,2.02456653
153,201890,2.15335080
163,196193,2.30654728
173,191226,2.48108939
183,187489,2.64141095
193,181212,2.88046078
203,176371,3.06818336
213,170806,3.31312469
223,165946,3.56606852
233,159708,3.88179988
243,153678,4.12443111
253,149152,4.38531533
263,149075,4.39134454
273,149955,4.37950598
283,150581,4.33968868
293,151829,4.31318320
303,150630,4.28587121
313,151082,4.33622037
323,149964,4.33096066
333,151465,4.32584552
