39,1034,1.00000000
49,90168,1.00000000
59,246366,1.01064323
69,239600,1.12531512
79,234593,1.22485061
89,230336,1.31740086
99,226985,1.41651999
109,223084,1.52954497
119,219343,1.64120910
129,214116,1.76069765
139,209697,1.87919463
149,206347,2.02575495
159,202867,2.03922440
169,201120,2.02777114
179,196883,2.17950697
189,192624,2.29239645
199,187815,2.49560273
209,182682,2.65968506
219,178393,2.82686695
229,172785,3.08222207
239,167424,3.32096539
249,162522,3.53513114
259,158505,3.74912338
269,160031,3.68519121
279,159888,3.66874158
289,160665,3.65331591
299,161962,3.58749213
309,161387,3.59390718
319,161778,3.64245117
329,160598,3.61674157
339,161307,3.60875234
