36,525,1.00000000
46,47088,1.00000000
56,241978,1.00000000
66,236162,1.04332748
76,235103,1.08477042
86,232522,1.13412239
96,230370,1.16938745
106,228801,1.21465360
116,227639,1.25157734
126,225556,1.31119819
136,223529,1.33888646
146,221140,1.41531184
156,219756,1.45122541
166,217649,1.52336629
176,215247,1.56794085
186,212284,1.65075195
196,209195,1.74269704
206,206535,1.81690810
216,202597,1.95232779
226,200475,2.02693559
236,196600,2.14713658
246,191710,2.31061365
256,190164,2.36152367
266,191997,2.28026770
276,191767,2.30944143
286,194531,2.22275880
296,194264,2.22257516
306,195600,2.17785816
316,195381,2.17170839
326,197471,2.13047804
336,197417,2.13011852
