35,513,1.00000000
45,39242,1.00000000
55,245546,1.00000000
65,188332,1.10040473
75,201887,1.06765413
85,207787,1.05798379
95,193387,1.08747007
105,203900,1.06324484
115,186599,1.10249945
125,195651,1.08170524
135,204079,1.06537172
145,183291,1.10985349
155,198086,1.07778803
165,203156,1.06510388
175,182805,1.10700083
185,196591,1.07869431
195,203526,1.06301836
205,182739,1.10139008
215,193374,1.08048892
225,201837,1.06175219
235,184162,1.09719666
245,191780,1.07950694
255,199588,1.06447530
265,189413,1.08291582
275,191696,1.07977913
285,197032,1.06640986
295,194770,1.07440430
305,191176,1.08033024
315,197671,1.06848368
325,195135,1.07519909
335,190687,1.08243200
